"Subject Number" "Activity" "Avgmean" "Avgsd"
1 "laying" -0.038780932678 -0.094974300494
1 "sitting" 0.11770854623617 0.00284798482340426
1 "standing" -0.0374820999679245 -0.228165476283019
1 "walking" -0.334593851089474 -0.0715513643377895
1 "walkingdownstairs" -0.24153299954898 -0.251421070963265
1 "walkingupstairs" -0.301908590471698 -0.240762604709434
2 "laying" 0.0414978802020833 -0.0966764838083333
2 "sitting" 0.192636236913043 -0.253133782695652
2 "standing" 0.0278048061185185 -0.360909779981481
2 "walking" 0.0648991809491525 -0.233432734305085
2 "walkingdownstairs" 0.212135428978723 -0.18857590863617
2 "walkingupstairs" 0.1574097324375 -0.288635938541667
3 "laying" 0.101320737105968 -0.0868143370290323
3 "sitting" 0.129855049096154 0.0170525293692308
3 "standing" 0.0468451078245902 -0.0713706440804918
3 "walking" 0.00689010171724138 -0.218360601434483
3 "walkingdownstairs" -0.0130671214714286 -0.15160584522449
3 "walkingupstairs" -0.115903370675559 -0.128013881028814
4 "laying" 0.232271997607407 -0.167199651205556
4 "sitting" 0.26068645585 0.048220270282
4 "standing" 0.252309290125 -0.126085764982143
4 "walking" 0.4561367636 0.014649788853
4 "walkingdownstairs" 0.521594152444444 -0.0966567595828889
4 "walkingupstairs" 0.304226646230769 -0.0566491326019231
5 "laying" 0.0832932544961539 0.0644917513519231
5 "sitting" 0.412235233756818 0.239188348272727
5 "standing" -0.0259885224714286 -0.0357211981285714
5 "walking" 0.183207020967857 -0.112217308126786
5 "walkingdownstairs" -0.0892728666487234 -0.332377481312766
5 "walkingupstairs" -0.0758236220576383 -0.00521966754680851
6 "laying" 0.120538417992982 -0.186231540673684
6 "sitting" 0.0479702585218182 -0.0971872064
6 "standing" -0.0322628253298246 -0.284738153154386
6 "walking" -0.0603934197719298 -0.242126027338596
6 "walkingdownstairs" -0.0570346784041667 -0.33677888375
6 "walkingupstairs" -0.321149767070588 -0.0811691955352941
7 "laying" 0.166404160734615 -0.130487246609615
7 "sitting" 0.109241868104167 -0.20427947460625
7 "standing" -0.0709614939056604 -0.37096033264717
7 "walking" 0.453893497017544 -0.384458664329825
7 "walkingdownstairs" 0.244751320274468 -0.499420730638298
7 "walkingupstairs" 0.142772534430392 -0.241712520835294
8 "laying" 0.0411890605259259 -0.135800289307778
8 "sitting" 0.0165306433826087 -0.10162901923913
8 "standing" -0.0911340135611111 -0.193753576181481
8 "walking" -0.0411924152854167 0.0748100397520833
8 "walkingdownstairs" -0.103863205013158 -0.262498837060526
8 "walkingupstairs" -0.072917508804878 -0.168401559609756
9 "laying" 0.2676263788932 0.05233717034
9 "sitting" 0.165923981974 0.018818416532
9 "standing" 0.309695734973333 0.0790481374
9 "walking" 0.0529765389653846 0.156673064403846
9 "walkingdownstairs" 0.153305639785714 0.17796755202381
9 "walkingupstairs" 0.067377749344898 0.233974790832653
10 "laying" -0.00311887841992534 0.229910128396552
10 "sitting" -0.076114994912963 -0.000211548755555554
10 "standing" -0.252227791811364 0.0877587747159091
10 "walking" -0.215706232350943 -0.139183141733962
10 "walkingdownstairs" -0.2154947945 0.0630922155263158
10 "walkingupstairs" -0.213406587510638 0.053198012812766
11 "laying" 0.0641667489859649 -0.0774202688875439
11 "sitting" 0.143911301060377 0.216386588650943
11 "standing" -0.104574184991702 0.00709114004255319
11 "walking" -0.0289719462537288 -0.0377975853945763
11 "walkingdownstairs" -0.310326652195652 0.0841890538152174
11 "walkingupstairs" -0.158268187437037 -0.00681602405555556
12 "laying" 0.166339340873333 -0.144740086653333
12 "sitting" 0.0643044649588235 -0.0854798621372549
12 "standing" -0.0883499110655738 -0.0182377721918033
12 "walking" -0.28327902842 0.078020390362
12 "walkingdownstairs" 0.0157088512608696 -0.143307873723913
12 "walkingupstairs" -0.19479036 0.0985231819615385
13 "laying" 0.0384601044612903 -0.0570662451241935
13 "sitting" 0.195890109857143 -0.147973953089796
13 "standing" 0.0375670091333333 -0.345280862649123
13 "walking" 0.0369633796842105 -0.309211516438597
13 "walkingdownstairs" 0.0966547175638298 -0.289279047659574
13 "walkingupstairs" -0.00235501510690909 -0.282273394636364
14 "laying" 0.304279127741176 -0.27775475775098
14 "sitting" 0.0166445613185185 -0.0452428742972222
14 "standing" -0.118744153217667 -0.35319707645
14 "walking" 0.335822152415254 0.187690336694915
14 "walkingdownstairs" 0.0284893757555556 -0.490579540222222
14 "walkingupstairs" 0.389984114537037 0.287351333574074
15 "laying" 0.0514854128458333 -0.0870514267694444
15 "sitting" -0.0219231730847458 -0.100167406392034
15 "standing" 0.0354278750943396 -0.0477710577339623
15 "walking" -0.049327968037037 -0.00220493297592592
15 "walkingdownstairs" -0.267561538928571 0.0430385937619048
15 "walkingupstairs" -0.188092583916667 0.0259585490416667
16 "laying" 0.0587331111971429 0.0781688898657143
16 "sitting" -0.180362799594203 -0.132890002326087
16 "standing" -0.0847358842320513 0.132014668307692
16 "walking" 0.508826561568627 0.0465538712490196
16 "walkingdownstairs" 0.247655386212766 0.0440638936021277
16 "walkingupstairs" 0.0020307165372549 0.0883422566411765
17 "laying" 0.0186079121943662 -0.0197203817507042
17 "sitting" -0.02878806438125 0.008914009390625
17 "standing" -0.0317712444858974 -0.154023701428205
17 "walking" -0.03025771636 -0.158671703336066
17 "walkingdownstairs" 0.0301062580826087 -0.360307930434783
17 "walkingupstairs" 0.03627782970625 -0.385637547708333
18 "laying" 0.012890911426 -0.205290556303077
18 "sitting" -0.0527164512087719 0.058951151005614
18 "standing" -0.172633969190411 -0.226154455746575
18 "walking" 0.0139451739035714 0.165249638428571
18 "walkingdownstairs" 0.116821803031273 0.0257652267727273
18 "walkingupstairs" -0.102404407568966 -0.0819488300206897
19 "laying" 0.0391059185651807 -0.164656627778313
19 "sitting" 0.260236736723288 -0.0860812657945206
19 "standing" 0.279409127383562 -0.244999390920548
19 "walking" 0.514241795576923 -0.193394011365385
19 "walkingdownstairs" 0.0493781013461538 -0.153863887461538
19 "walkingupstairs" 0.0584694983325 -0.1811226382875
20 "laying" -0.0731347107485294 -0.00657015040735294
20 "sitting" -0.00877607367318182 -0.148651981590909
20 "standing" 0.0326491932520548 -0.190616377834247
20 "walking" -0.0978669084431373 -0.0373081043529412
20 "walkingdownstairs" -0.345514492531111 -0.10671431386
20 "walkingupstairs" -0.0819399389745098 0.0405764300941176
21 "laying" 0.128161058623333 -0.183717293158333
21 "sitting" 0.00867832349176471 -0.178161768268235
21 "standing" -0.136429204510112 -0.310258419701124
21 "walking" 0.336427476057692 0.174756829771154
21 "walkingdownstairs" 0.0876586327111111 -0.288640673111111
21 "walkingupstairs" 0.106253664446809 0.0676016646765957
22 "laying" 0.249171810813889 -0.185857489758333
22 "sitting" 0.102303452506452 -0.248837604903226
22 "standing" 0.295368659122222 -0.330485203555556
22 "walking" 0.168875699267391 -0.0111736296913043
22 "walkingdownstairs" 0.143324428805556 -0.0157055228166667
22 "walkingupstairs" 0.11179611797381 -0.102774716338095
23 "laying" 0.1430888486625 0.00511589020027778
23 "sitting" -0.117146798083824 -0.371119047617647
23 "standing" -0.190033639764706 -0.395452157264706
23 "walking" 0.13629398269322 -0.332004849152542
23 "walkingdownstairs" 0.336085437407407 -0.375374343222222
23 "walkingupstairs" 0.0713207686745098 -0.397587216470588
24 "laying" 0.100114929905556 -0.0947279552513889
24 "sitting" 0.0916748130102941 -0.133201077314706
24 "standing" -0.00958203531304348 -0.192162326288985
24 "walking" 0.338318064574138 -0.243419699448276
24 "walkingdownstairs" 0.0634894837090909 0.124906858925455
24 "walkingupstairs" 0.0660700963237288 -0.11275385249322
25 "laying" 0.291246931017808 -0.0493195616849315
25 "sitting" 0.112157312815385 -0.129669485949231
25 "standing" -0.0333788525405405 -0.313778474066216
25 "walking" -0.0331983891216216 -0.0218720267351351
25 "walkingdownstairs" 0.132458339531034 -0.078362677987069
25 "walkingupstairs" -0.00629778411107692 -0.0959674030393846
26 "laying" 0.00828813330526316 -0.160063034442763
26 "sitting" 0.128616290358974 -0.123145361138462
26 "standing" -0.075685651772973 -0.208873751028378
26 "walking" -0.127171399491525 0.0236828028474576
26 "walkingdownstairs" 0.21013310745 -0.4435720996
26 "walkingupstairs" 0.273533173218182 -0.241543919654545
27 "laying" 0.114950176836486 -0.237452866540541
27 "sitting" 0.181447318700857 -0.0523731964328571
27 "standing" 0.0682933571125 -0.268537621269125
27 "walking" 0.164815803964912 0.284315163877193
27 "walkingdownstairs" 0.307334896411364 -0.260809417277273
27 "walkingupstairs" 0.0536539526882353 -0.266901688431373
28 "laying" 0.31617122693375 -0.31702121421
28 "sitting" 0.160742172383333 -0.0978371068481944
28 "standing" -0.0709669876708861 -0.364535335886076
28 "walking" 0.0468109401111111 -0.152662352292593
28 "walkingdownstairs" -0.0151528925195652 -0.288139483021739
28 "walkingupstairs" -0.0719813166529412 -0.14635347345098
29 "laying" -0.0211695443352174 -0.0940687036695652
29 "sitting" 0.21679980055 -0.206093087928333
29 "standing" 0.0801667150984615 -0.313586381552308
29 "walking" 0.0544650951654717 0.289401735150943
29 "walkingdownstairs" -0.308608610102083 0.0110245213166667
29 "walkingupstairs" -0.077287081 -0.10270904725102
30 "laying" 0.169737504524286 -0.0518161178342857
30 "sitting" -0.0677944703596774 -0.148367994870968
30 "standing" 0.0149868457111864 -0.179025678985763
30 "walking" -0.000916146482307693 0.205258501430769
30 "walkingdownstairs" 0.0959195125225806 0.00383217104370968
30 "walkingupstairs" -0.142935190050769 0.175633178106154
